Iteration	Posterior	Likelihood	Prior	clock_rate[1]	clock_rate[2]	clock_rate[3]	clock_rate[4]	extinction	kappa[1]	kappa[2]	kappa[3]	kappa[4]	Ne[1]	Ne[2]	Ne[3]	Ne[4]	Ne[5]	Ne[6]	Ne[7]	Ne[8]	Ne[9]	Ne[10]	Ne[11]	Ne[12]	Ne[13]	Ne[14]	Ne[15]	Ne[16]	Ne[17]	Ne[18]	Ne[19]	relativeExtinction	root	speciation
0	-22297.5	-22045.3	-252.191	0.454143	0.0105265	0.326185	1.32112	0.0803298	0.648527	0.650119	1.69784	1.61274	10	10	10	10	10	10	10	10	10	10	50.6328	92.7779	109.214	321.459	40.7118	109.705	68.9909	58.6212	65.484	0.09786675	8.272924	0.8208079
10	-3589.3	-3361.75	-227.546	0.00468319	0.00158694	0.00337301	0.0127556	1.000841	0.352192	2.62954	1.16628	13.9552	10	10	10	10	10	10	10	10	10	10	51.0061	82.5135	106	278.274	47.4381	109.042	60.2095	46.9162	50.6065	0.8935624	8.272924	1.120058
20	-3144.14	-2914.78	-229.363	0.00177259	0.000913882	0.000918238	0.00249762	0.3566023	4.14263	4.40852	1.04677	1.48594	10	10	10	10	10	10	10	10	10	10	46.1994	77.1753	86.8446	315.954	35.4352	95.0845	54.8643	37.7517	51.634	0.4229406	8.272924	0.8431498
30	-3104.86	-2855.2	-249.663	0.000138847	0.00030743	0.000329384	0.00171499	1.564517	3.15092	3.91036	3.40348	1.74435	10	10	10	10	10	10	10	10	10	10	39.6374	61.0158	88.0695	387.601	41.6385	92.2721	67.0679	37.2688	37.9602	0.9829805	8.272924	1.591605
40	-3080.34	-2840.79	-239.544	0.000151564	0.000430087	0.000450764	0.00058965	0.8970506	4.00341	6.63988	2.7309	1.89676	10	10	10	10	10	10	10	10	10	10	40.6344	78.4096	100.607	468.342	65.6452	73.4131	57.5681	43.2642	30.4737	0.7336141	8.272924	1.222783
50	-3085.12	-2848.31	-236.809	0.000117158	0.000191229	0.000490667	0.000498221	0.1551246	1.97813	6.80115	2.28487	1.35967	10	10	10	10	10	10	10	10	10	10	34.841	63.9959	87.9048	315.315	70.8246	65.5615	59.5725	36.734	21.7733	0.284441	8.272924	0.5453665
60	-3071.38	-2836.53	-234.846	0.000118804	0.000193804	0.000297201	0.000664953	0.01233947	1.51203	2.34942	1.91995	1.63863	10	10	10	10	10	10	10	10	10	10	26.1085	77.3477	96.7762	293.925	82.0703	63.575	53.3298	41.3818	17.5799	0.04052597	8.272924	0.3044829
70	-3059.77	-2844.44	-215.329	0.000198816	0.000576596	0.00070371	0.000918423	0.05160291	2.70803	5.25434	2.38659	2.26113	10	10	10	10	10	10	10	10	10	10	30.1614	72.6652	109.588	300.21	105.11	64.8496	53.859	35.8633	13.802	0.0862725	8.272924	0.5981386
80	-3060.84	-2844.93	-215.917	0.000152886	0.000288326	0.000445264	0.000761087	0.06785624	3.58135	5.0657	2.64405	1.75649	10	10	10	10	10	10	10	10	10	10	20.7556	92.2135	107.796	298.851	130.05	63.6609	66.3047	34.3851	11.0676	0.125832	8.272924	0.5392605
90	-3046.76	-2843.35	-203.404	0.000140382	0.000482695	0.00060065	0.00054443	0.01369779	1.87989	3.00461	4.21291	1.50618	10	10	10	10	10	10	10	10	10	10	21.1047	114.235	89.3476	224.295	111.946	81.1478	70.1973	43.4461	10.2232	0.03192623	8.272924	0.4290451
100	-3056.17	-2850.96	-205.205	0.000125976	0.000531936	0.000647317	0.000755873	0.2305108	1.71982	4.79472	1.38131	0.84247	10	10	10	10	10	10	10	10	10	10	18.9177	111.903	96.625	218.13	117.481	87.6511	87.5486	33.8711	9.07948	0.3757097	8.272924	0.6135343
110	-3052.89	-2845.34	-207.553	0.000150357	0.000399539	0.000744116	0.000934858	0.008202986	1.41596	5.05758	1.8052	1.96372	10	10	10	10	10	10	10	10	10	10	17.5438	105.463	107.503	193.704	154.31	75.4239	85.1767	22.5848	9.10434	0.01865156	8.272924	0.4398016
