Iteration	Replicate_ID	Posterior	Likelihood	Prior	clock_rate[1]	clock_rate[2]	clock_rate[3]	clock_rate[4]	extinction	kappa[1]	kappa[2]	kappa[3]	kappa[4]	Ne[1]	Ne[2]	Ne[3]	Ne[4]	Ne[5]	Ne[6]	Ne[7]	Ne[8]	Ne[9]	Ne[10]	Ne[11]	Ne[12]	Ne[13]	Ne[14]	Ne[15]	Ne[16]	Ne[17]	Ne[18]	Ne[19]	relativeExtinction	root	speciation
19	0	-3082.56	-2861.29	-221.272	0.000195094	0.000373674	0.000499298	0.000529105	0.006791244	4.2041	6.09914	1.28406	1.50452	10	10	10	10	10	10	10	10	10	10	333.397	43.949	121.368	454.581	37.6546	16.4759	203.416	4.04224	11.7778	0.01643156	8.272924	0.4133048
20	0	-3072.29	-2848.92	-223.363	0.000204504	0.000213613	0.000425835	0.000424036	0.2507592	0.636227	2.70849	2.06623	1.19317	10	10	10	10	10	10	10	10	10	10	366.854	43.8833	116.981	332.12	26.1669	20.5293	160.128	2.89275	10.7756	0.3246274	8.272924	0.7724523
21	0	-3074.93	-2844.96	-229.972	0.000146264	0.000428458	0.000193153	0.000503471	0.003843697	1.96564	3.92041	2.92694	1.9585	10	10	10	10	10	10	10	10	10	10	449.029	64.686	93.334	314.246	26.5111	21.1611	163.482	3.67587	13.797	0.01391443	8.272924	0.2762381
22	0	-3069.73	-2855.49	-214.241	0.000203881	0.000514914	0.0002252	0.00061483	0.03328841	1.59464	2.32184	3.40395	1.19509	10	10	10	10	10	10	10	10	10	10	332.74	75.8756	111.254	350.317	26.9011	14.6035	144.799	2.87669	11.212	0.07708766	8.272924	0.4318254
23	0	-3062.32	-2844.16	-218.161	0.000136394	0.000499254	0.000521945	0.000737408	0.2420493	4.01659	4.95172	2.54868	1.52693	10	10	10	10	10	10	10	10	10	10	191.7	98.9678	157.024	608.402	26.214	11.0961	103.737	0.556682	12.5638	0.4883299	8.272924	0.4956676
24	0	-3056.41	-2848.1	-208.307	0.000182604	0.000588016	0.000451703	0.000623802	0.0546523	2.80658	1.302	0.798152	1.99665	10	10	10	10	10	10	10	10	10	10	149.95	139.2	137.724	507.265	14.2159	7.52382	102.579	1.01276	12.4906	0.101715	8.272924	0.5373082
25	0	-3054.51	-2858.15	-196.358	0.000103099	0.000596996	0.000291849	0.00113956	0.4197901	2.37756	3.37404	1.20316	1.34676	10	10	10	10	10	10	10	10	10	10	121.074	153.634	263.949	647.938	14.0231	14.5066	70.0075	0.751259	9.42212	0.5615465	8.272924	0.7475606
26	0	-3034.93	-2845.73	-189.202	0.000175773	0.000490786	0.000501808	0.000826933	0.05646908	2.05629	3.50967	1.34846	2.45704	10	10	10	10	10	10	10	10	10	10	142.189	182.24	147.786	423.145	11.1885	21.0512	51.6048	0.3951	6.54364	0.1818299	8.272924	0.3105599
27	0	-3051.24	-2847.03	-204.212	0.000172163	0.000400327	0.000450665	0.000560593	0.41391	3.43128	3.59531	1.92999	0.957268	10	10	10	10	10	10	10	10	10	10	130.568	160.669	309.305	559.529	11.3937	20.9956	45.9887	7.20386	8.16701	0.6526993	8.272924	0.6341511
28	0	-3066.27	-2851.48	-214.787	0.000222305	0.000351425	0.000229596	0.000636643	0.1525243	0.741004	3.67069	2.37813	1.08981	10	10	10	10	10	10	10	10	10	10	117.09	265.25	307.973	343.915	9.14909	22.5253	35.9675	2.51284	11.5693	0.3011468	8.272924	0.5064784
29	0	-3063.49	-2852.15	-211.347	0.000136465	0.00045103	0.000527708	0.000515657	0.2376603	2.32418	1.26248	5.21295	1.52142	10	10	10	10	10	10	10	10	10	10	117.01	229.681	341.29	313.799	10.1585	35.9857	58.2422	4.37411	12.3879	0.4681793	8.272924	0.5076267
30	0	-3064.47	-2847.79	-216.678	0.000152024	0.000507016	0.000455341	0.000676001	0.0635841	1.4688	3.14046	3.05611	1.52295	10	10	10	10	10	10	10	10	10	10	120.11	210.351	272.402	351.66	8.44035	43.2994	52.3353	8.96837	11.4426	0.1622806	8.272924	0.3918157
31	0	-3057.5	-2845.29	-212.211	0.000126951	0.000433638	0.00037436	0.00066201	0.2802817	3.33368	2.34736	1.75552	2.16247	10	10	10	10	10	10	10	10	10	10	71.2294	269.013	253.043	355.599	10.7515	67.9475	41.6969	9.6027	7.50511	0.5751197	8.272924	0.4873449
32	0	-3064.65	-2854.99	-209.659	6.93531e-05	0.000362626	0.000398678	0.000607911	1.074023	1.43772	3.30817	0.966305	1.36748	10	10	10	10	10	10	10	10	10	10	56.9511	242.79	299.622	418.746	8.67738	53.4742	73.5502	18.1354	9.13664	0.8607641	8.272924	1.247756
33	0	-3049.44	-2844.63	-204.807	0.000196382	0.000349189	0.000658734	0.000616058	0.04709523	2.85265	2.3563	2.52235	1.47387	10	10	10	10	10	10	10	10	10	10	52.4377	368.297	302.284	356.538	11.7979	59.2423	50.5527	13.0834	10.6278	0.08164859	8.272924	0.5768039
34	0	-3059.52	-2848.72	-210.798	0.000226837	0.000445566	0.000464406	0.000794612	0.1723369	3.88902	3.60392	1.55571	1.47035	10	10	10	10	10	10	10	10	10	10	83.9262	597.989	294.907	247.446	12.3965	73.1157	52.5148	17.0407	9.92386	0.3021715	8.272924	0.5703283
35	0	-3066.58	-2856.27	-210.311	0.000212638	0.000498285	0.000607142	0.000727423	0.1247165	2.30308	3.05879	1.42772	0.995908	10	10	10	10	10	10	10	10	10	10	86.9501	442.046	272.185	220.068	11.118	54.8491	44.2987	28.6188	8.80285	0.2177821	8.272924	0.5726663
